	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
16-20	980	293	270	375	1154	2641	137	1004	942	841	679	921	1158	1591	575	412	400	1282	1665	285	506	1015
21-50	989	575	780	1021	2359	3425	213	1174	1509	2494	1262	863	1269	3486	580	463	860	1751	2874	588	384	2570
51-100	106	354	480	518	1909	833	0	581	495	832	687	380	111	801	405	234	1114	432	277	412	72	2386
101-150	0	0	250	126	1107	0	0	0	520	267	510	381	109	113	116	0	514	106	148	128	0	761
151-200	0	0	197	0	153	0	0	0	0	0	495	172	0	0	0	0	0	0	0	0	0	0
201-500	0	0	664	0	648	0	0	0	620	657	579	715	0	0	0	0	226	0	0	0	0	943
501-1000	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	1201
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	14.0	22.8	31.7	26.2	12.3	9.4	43.5	20.7	12.3	22.8	23.5	10.7	13.0	12.6	14.3	28.6	26.8	9.5	11.4	35.8	18.7	18.7
'2	16.0	22.9	18.1	20.0	13.8	11.9	21.9	16.8	15.0	16.4	16.7	12.9	14.2	13.8	16.3	20.8	18.5	19.9	14.2	21.1	19.3	16.3
'3	12.9	14.7	10.7	11.4	11.1	9.6	10.8	12.1	12.4	9.6	10.4	12.5	10.8	11.4	14.2	11.5	10.9	13.3	11.1	10.6	12.5	9.7
'4	10.9	9.1	5.9	7.4	8.6	8.4	6.1	8.6	10.3	6.0	6.4	11.0	8.6	9.0	11.9	8.0	6.3	10.9	8.5	5.9	7.9	6.1
'5	8.9	5.4	3.4	4.8	7.3	6.7	3.9	6.4	7.7	4.2	4.7	8.0	6.7	7.2	9.4	4.4	4.5	7.6	7.0	3.0	6.3	4.1
'6	7.8	3.5	2.3	3.1	5.8	6.1	2.0	4.1	7.3	2.7	3.2	7.7	5.2	5.1	6.4	3.4	3.0	6.4	5.8	2.3	4.5	3.2
'7	5.0	2.6	2.1	2.5	4.4	4.7	1.6	4.1	4.8	2.0	2.2	5.2	4.2	4.4	5.0	2.7	2.4	4.6	4.8	1.6	3.0	2.5
'8	3.9	2.4	1.7	2.3	3.4	4.3	1.1	2.9	4.1	1.7	1.7	4.1	3.2	4.1	3.9	1.5	2.1	3.8	3.5	1.8	2.2	1.6
'9	3.4	1.5	1.5	1.6	2.6	3.2	1.1	2.6	3.4	1.0	1.6	3.2	2.4	2.9	3.3	1.3	1.1	2.8	2.8	1.0	1.7	1.4
'10	2.7	1.0	0.7	1.2	2.0	2.8	0.7	1.7	2.8	0.7	1.1	2.6	1.8	3.1	2.1	1.1	1.3	2.0	2.0	0.9	1.4	1.6
11-15	6.2	3.6	2.3	4.2	6.3	9.8	1.2	6.2	6.9	3.3	3.5	6.6	5.6	9.3	6.2	3.2	3.6	6.7	8.1	2.7	3.4	4.4
16-20	3.1	1.2	1.2	1.9	3.1	5.0	0.8	3.5	2.7	3.1	2.3	2.7	3.2	3.7	1.9	1.8	1.6	3.5	3.5	1.5	1.7	3.0
21-50	3.1	2.4	3.6	5.1	6.4	6.5	1.3	4.1	4.4	9.2	4.3	2.6	3.5	8.2	1.9	2.1	3.5	4.8	6.1	3.0	1.3	7.7
51-100	0.3	1.5	2.2	2.6	5.2	1.6	0.0	2.0	1.4	3.1	2.4	1.1	0.3	1.9	1.4	1.0	4.6	1.2	0.6	2.1	0.2	7.1
101-150	0.0	0.0	1.1	0.6	3.0	0.0	0.0	0.0	1.5	1.0	1.8	1.1	0.3	0.3	0.4	0.0	2.1	0.3	0.3	0.7	0.0	2.3
151-200	0.0	0.0	0.9	0.0	0.4	0.0	0.0	0.0	0.0	0.0	1.7	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	3.1	0.0	1.8	0.0	0.0	0.0	1.8	2.4	2.0	2.1	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	2.8
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
