	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis_H1	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
'7	1547	602	448	511	1610	2499	280	1190	1680	518	672	1771	1554	1890	1470	595	553	1638	2233	322	861	833
'8	1240	560	360	448	1272	2296	216	800	1408	480	456	1392	1152	1720	1160	352	536	1376	1648	344	664	512
'9	1080	351	315	315	963	1701	135	756	1224	261	468	1089	882	1233	999	261	288	981	1287	189	504	459
'10	830	250	160	260	690	1450	100	480	940	170	350	870	670	1340	630	250	320	730	970	200	400	510
11-15	1960	865	513	876	2274	5165	240	1784	2308	898	1006	2189	1988	3937	1856	717	835	2463	3798	526	927	1554
16-20	977	314	234	359	1194	2606	105	986	941	859	700	923	1196	1588	536	393	400	1259	1647	230	522	991
21-50	984	536	805	1020	2287	3427	168	1181	1472	2537	1244	800	1251	3505	624	493	956	1753	2886	622	395	2656
51-100	106	357	479	518	1896	833	0	587	560	768	699	380	111	805	404	234	1167	439	277	412	72	2259
101-150	0	0	262	126	970	0	0	0	492	137	511	382	110	113	117	0	382	106	148	128	0	492
151-200	0	0	197	0	153	0	0	0	0	158	476	174	0	0	0	0	0	0	0	0	0	485
201-500	0	0	664	0	855	0	0	0	617	657	582	769	0	0	0	0	224	0	0	0	0	752
501-1000	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	1199
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	14.0	22.8	31.7	26.2	12.3	9.4	44.0	20.7	12.4	22.8	23.5	10.8	13.0	12.6	14.3	28.6	26.9	9.6	11.3	35.8	18.7	18.7
'2	16.0	22.9	18.1	20.0	13.7	11.9	21.6	16.8	15.0	16.3	16.8	12.9	14.2	13.8	16.3	20.8	18.5	19.9	14.2	21.1	19.3	16.3
'3	13.0	14.8	10.7	11.4	11.2	9.6	10.6	12.1	12.4	9.6	10.3	12.4	10.8	11.4	14.2	11.5	11.0	13.3	11.1	10.5	12.5	9.7
'4	10.8	9.2	5.9	7.4	8.6	8.4	6.1	8.5	10.3	6.0	6.4	11.0	8.6	9.0	11.9	8.0	6.4	10.9	8.5	5.9	8.0	6.2
'5	8.9	5.4	3.4	4.7	7.3	6.7	3.7	6.4	7.7	4.2	4.8	8.0	6.7	7.2	9.5	4.3	4.5	7.5	7.0	2.9	6.3	4.0
'6	7.9	3.5	2.3	3.1	5.8	6.1	2.2	4.2	7.3	2.8	3.1	7.7	5.2	5.0	6.4	3.4	2.9	6.4	5.9	2.4	4.5	3.2
'7	4.9	2.6	2.1	2.5	4.4	4.7	1.7	4.1	4.9	1.9	2.3	5.3	4.3	4.4	4.9	2.7	2.3	4.5	4.7	1.6	3.0	2.5
'8	3.9	2.4	1.7	2.2	3.5	4.3	1.3	2.8	4.1	1.8	1.6	4.1	3.2	4.0	3.9	1.6	2.2	3.8	3.5	1.8	2.3	1.5
'9	3.4	1.5	1.4	1.6	2.6	3.2	0.8	2.6	3.6	1.0	1.6	3.2	2.4	2.9	3.3	1.2	1.2	2.7	2.7	1.0	1.7	1.4
'10	2.6	1.1	0.7	1.3	1.9	2.7	0.6	1.7	2.7	0.6	1.2	2.6	1.8	3.1	2.1	1.1	1.3	2.0	2.1	1.0	1.4	1.5
11-15	6.2	3.7	2.4	4.4	6.2	9.8	1.5	6.2	6.7	3.3	3.5	6.5	5.4	9.2	6.2	3.2	3.4	6.8	8.1	2.7	3.2	4.6
16-20	3.1	1.3	1.1	1.8	3.2	4.9	0.6	3.4	2.7	3.2	2.4	2.8	3.3	3.7	1.8	1.8	1.6	3.5	3.5	1.2	1.8	3.0
21-50	3.1	2.3	3.7	5.1	6.2	6.5	1.0	4.1	4.3	9.4	4.3	2.4	3.4	8.2	2.1	2.2	3.9	4.8	6.1	3.2	1.4	7.9
51-100	0.3	1.5	2.2	2.6	5.2	1.6	0.0	2.0	1.6	2.8	2.4	1.1	0.3	1.9	1.4	1.0	4.8	1.2	0.6	2.1	0.2	6.8
101-150	0.0	0.0	1.2	0.6	2.6	0.0	0.0	0.0	1.4	0.5	1.8	1.1	0.3	0.3	0.4	0.0	1.6	0.3	0.3	0.7	0.0	1.5
151-200	0.0	0.0	0.9	0.0	0.4	0.0	0.0	0.0	0.0	0.6	1.6	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5
201-500	0.0	0.0	3.1	0.0	2.3	0.0	0.0	0.0	1.8	2.4	2.0	2.3	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	2.2
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
